"company_f","gender","rank","norm"
"ABT","female",14,0.087378640776699
"ABT","female",17,0.0776699029126214
"ABT","male",9,0.378640776699029
"ABT","female",4,0.349514563106796
"ABT","male",12,0.320388349514563
"ABT","male",17,0.233009708737864
"ABT","male",16,0.242718446601942
"ABT","male",18,0.233009708737864
"ABT","female",5,0.300970873786408
"ABT","male",8,0.398058252427184
"ABT","female",7,0.16504854368932
"ABT","male",5,0.495145631067961
"ABT","male",13,0.310679611650485
"ABT","female",18,0.0776699029126214
"ABT","female",15,0.087378640776699
"ABT","male",19,0.233009708737864
"ABT","male",6,0.456310679611651
"ABT","female",11,0.106796116504854
"ABT","male",11,0.349514563106796
"ABT","male",15,0.29126213592233
"ABT","male",7,0.407766990291262
"ABT","male",3,0.640776699029126
"ABT","male",10,0.359223300970874
"ABT","female",16,0.087378640776699
"ABT","female",3,0.679611650485437
"ABT","female",1,1
"ABT","male",1,0.805825242718447
"ABT","male",20,0.223300970873786
"ABT","female",2,0.699029126213592
"ABT","female",6,0.174757281553398
"ABT","female",12,0.106796116504854
"ABT","male",14,0.300970873786408
"ABT","female",13,0.106796116504854
"ABT","male",2,0.669902912621359
"ABT","female",19,0.0776699029126214
"ABT","female",20,0.0776699029126214
"ABT","female",8,0.145631067961165
"ABT","female",9,0.135922330097087
"ABT","female",10,0.116504854368932
"ABT","male",4,0.504854368932039
"NBC","male",9,0.392405063291139
"NBC","male",5,0.607594936708861
"NBC","male",15,0.329113924050633
"NBC","female",7,0.164556962025316
"NBC","male",11,0.379746835443038
"NBC","male",8,0.455696202531646
"NBC","male",17,0.291139240506329
"NBC","male",18,0.291139240506329
"NBC","male",20,0.278481012658228
"NBC","female",3,0.417721518987342
"NBC","female",9,0.151898734177215
"NBC","male",7,0.468354430379747
"NBC","male",19,0.291139240506329
"NBC","male",13,0.354430379746835
"NBC","male",10,0.392405063291139
"NBC","female",16,0.10126582278481
"NBC","male",4,0.683544303797468
"NBC","female",11,0.139240506329114
"NBC","female",12,0.126582278481013
"NBC","female",1,0.556962025316456
"NBC","female",10,0.151898734177215
"NBC","male",12,0.367088607594937
"NBC","female",17,0.10126582278481
"NBC","female",4,0.215189873417722
"NBC","female",13,0.113924050632911
"NBC","male",14,0.354430379746835
"NBC","female",5,0.189873417721519
"NBC","female",14,0.113924050632911
"NBC","female",8,0.164556962025316
"NBC","female",6,0.189873417721519
"NBC","female",19,0.0886075949367089
"NBC","female",15,0.113924050632911
"NBC","female",20,0.0886075949367089
"NBC","male",1,1
"NBC","male",16,0.30379746835443
"NBC","male",3,0.734177215189873
"NBC","female",2,0.468354430379747
"NBC","male",2,0.784810126582278
"NBC","male",6,0.582278481012658
"NBC","female",18,0.10126582278481
"NYCB","male",10,0.12987012987013
"NYCB","male",2,0.402597402597403
"NYCB","male",3,0.337662337662338
"NYCB","male",6,0.237012987012987
"NYCB","female",15,0.0292207792207792
"NYCB","female",16,0.0292207792207792
"NYCB","female",11,0.0357142857142857
"NYCB","female",17,0.0292207792207792
"NYCB","female",13,0.0324675324675325
"NYCB","male",8,0.162337662337662
"NYCB","female",18,0.0292207792207792
"NYCB","male",14,0.107142857142857
"NYCB","male",9,0.133116883116883
"NYCB","male",7,0.175324675324675
"NYCB","female",6,0.0649350649350649
"NYCB","male",20,0.0746753246753247
"NYCB","male",18,0.0779220779220779
"NYCB","male",16,0.100649350649351
"NYCB","male",1,1
"NYCB","female",1,0.25
"NYCB","female",3,0.155844155844156
"NYCB","male",4,0.331168831168831
"NYCB","male",12,0.123376623376623
"NYCB","male",13,0.116883116883117
"NYCB","male",15,0.107142857142857
"NYCB","female",8,0.051948051948052
"NYCB","female",2,0.188311688311688
"NYCB","male",5,0.269480519480519
"NYCB","male",11,0.12987012987013
"NYCB","female",7,0.0616883116883117
"NYCB","female",9,0.0454545454545455
"NYCB","female",12,0.0357142857142857
"NYCB","male",17,0.100649350649351
"NYCB","female",4,0.0779220779220779
"NYCB","female",10,0.0454545454545455
"NYCB","male",19,0.0779220779220779
"NYCB","female",19,0.0292207792207792
"NYCB","female",20,0.0292207792207792
"NYCB","female",5,0.0681818181818182
"NYCB","female",14,0.0324675324675325
"ROH","female",8,0.0806451612903226
"ROH","male",5,0.306451612903226
"ROH","male",2,0.60752688172043
"ROH","male",12,0.231182795698925
"ROH","female",12,0.0645161290322581
"ROH","male",13,0.193548387096774
"ROH","male",3,0.543010752688172
"ROH","male",14,0.17741935483871
"ROH","male",15,0.161290322580645
"ROH","female",16,0.0483870967741935
"ROH","male",7,0.258064516129032
"ROH","male",10,0.247311827956989
"ROH","female",10,0.0698924731182796
"ROH","female",17,0.0483870967741935
"ROH","female",6,0.10752688172043
"ROH","male",19,0.150537634408602
"ROH","female",5,0.118279569892473
"ROH","female",18,0.0483870967741935
"ROH","female",11,0.0698924731182796
"ROH","female",19,0.0483870967741935
"ROH","male",16,0.161290322580645
"ROH","male",8,0.258064516129032
"ROH","male",20,0.150537634408602
"ROH","male",9,0.258064516129032
"ROH","male",18,0.155913978494624
"ROH","female",3,0.17741935483871
"ROH","male",6,0.274193548387097
"ROH","female",20,0.0483870967741935
"ROH","female",9,0.0752688172043011
"ROH","male",1,1
"ROH","male",4,0.532258064516129
"ROH","female",4,0.172043010752688
"ROH","female",2,0.225806451612903
"ROH","female",14,0.0591397849462366
"ROH","female",7,0.102150537634409
"ROH","male",17,0.161290322580645
"ROH","female",15,0.0537634408602151
"ROH","female",1,0.231182795698925
"ROH","male",11,0.247311827956989
"ROH","female",13,0.0645161290322581
